round,round_key,region,game_id,team,seed,raw_prob,normalized_prob
8,E8,West,G1,Utah State,9,0.00260000,0.00267325
8,E8,West,G1,Wisconsin,5,0.03020000,0.03105079
8,E8,West,G1,High Point,12,0.00240000,0.00246761
8,E8,West,G1,Arkansas,4,0.06480000,0.06662554
8,E8,West,G1,Hawaii,13,0.00260000,0.00267325
8,E8,West,G1,BYU,6,0.01710000,0.01758174
8,E8,West,G1,NC State,11,0.00220000,0.00226198
8,E8,West,G1,Gonzaga,3,0.10080000,0.10363973
8,E8,West,G1,Kennesaw,14,0.00150000,0.00154226
8,E8,West,G1,Miami,7,0.01360000,0.01398314
8,E8,West,G1,Missouri,10,0.00310000,0.00318733
8,E8,West,G1,Purdue,2,0.15850000,0.16296525
8,E8,West,G1,Queens NC,15,0.00180000,0.00185071
8,E8,South,G1,Florida,1,0.41770000,0.42748951
8,E8,South,G1,Lehigh,16,0.00190000,0.00194453
8,E8,South,G1,Clemson,8,0.00570000,0.00583359
8,E8,South,G1,Iowa,9,0.00490000,0.00501484
8,E8,South,G1,Vanderbilt,5,0.02870000,0.02937263
8,E8,South,G1,McNeese,12,0.00260000,0.00266094
8,E8,South,G1,Nebraska,4,0.01920000,0.01964998
8,E8,South,G1,Troy,13,0.00180000,0.00184219
8,E8,South,G1,North Carolina,6,0.04300000,0.04400778
8,E8,South,G1,VCU,11,0.00250000,0.00255859
8,E8,South,G1,Illinois,3,0.09170000,0.09384915
8,E8,South,G1,Penn,14,0.00460000,0.00470781
8,E8,South,G1,Saint Mary's,7,0.00600000,0.00614062
8,E8,South,G1,Texas A&M,10,0.00510000,0.00521953
8,E8,South,G1,Houston,2,0.34000000,0.34796848
8,E8,South,G1,Idaho,15,0.00170000,0.00173984
8,E8,Midwest,G1,Michigan,1,0.58910000,0.60838583
8,E8,Midwest,G1,Howard,16,0.00200000,0.00206548
8,E8,Midwest,G1,Georgia,8,0.00550000,0.00568006
8,E8,Midwest,G1,St Louis,9,0.00410000,0.00423422
8,E8,Midwest,G1,Texas Tech,5,0.01840000,0.01900238
8,E8,Midwest,G1,Akron,12,0.00230000,0.00237530
8,E8,Midwest,G1,Alabama,4,0.04860000,0.05019106
8,E8,Midwest,G1,Hofstra,13,0.00190000,0.00196220
8,E8,Midwest,G1,Tennessee,6,0.01800000,0.01858928
8,E8,Midwest,G1,SMU,11,0.00250000,0.00258184
8,E8,Midwest,G1,Virginia,3,0.07570000,0.07817825
8,E8,Midwest,G1,Wright State,14,0.00160000,0.00165238
8,E8,Midwest,G1,Kentucky,7,0.02980000,0.03077559
8,E8,Midwest,G1,Santa Clara,10,0.00290000,0.00299494
8,E8,Midwest,G1,Iowa State,2,0.16410000,0.16947227
8,E8,Midwest,G1,Tennessee State,15,0.00180000,0.00185893
4,F4,East/West,SF1,Duke,1,0.49510000,0.39601664
4,F4,East/West,SF1,Siena,16,0.00100000,0.00079987
4,F4,East/West,SF1,Ohio State,8,0.00340000,0.00271956
4,F4,East/West,SF1,TCU,9,0.00120000,0.00095985
4,F4,East/West,SF1,St John's,5,0.02410000,0.01927692
4,F4,East/West,SF1,Northern Iowa,12,0.00080000,0.00063990
4,F4,East/West,SF1,Kansas,4,0.02490000,0.01991681
4,F4,East/West,SF1,Cal Baptist,13,0.00070000,0.00055991
4,F4,East/West,SF1,Louisville,6,0.00250000,0.00199968
4,F4,East/West,SF1,South Florida,11,0.00120000,0.00095985
4,F4,East/West,SF1,Michigan State,3,0.03360000,0.02687570
4,F4,East/West,SF1,N Dakota St,14,0.00060000,0.00047992
4,F4,East/West,SF1,UCLA,7,0.00470000,0.00375940
4,F4,East/West,SF1,UCF,10,0.00100000,0.00079987
4,F4,East/West,SF1,UConn,2,0.07190000,0.05751080
4,F4,East/West,SF1,Furman,15,0.00070000,0.00055991
4,F4,East/West,SF1,Arizona,1,0.38930000,0.31139018
